NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Question 1,A patient underwent gastrectomy for gastric adenocarcinoma. which of the following vitamins needs to be supplemented in this patient?,"a) vitamin B12
b) vitamin B1
c) vitamin A
d) vitamin D","A patient who has undergone gastrectomy for gastric adenocarcinoma needs to be supplemented with vitamin B12.
vitamin B12 absorption is a complex process that relies on several factors. Intrinsic factor, a glycoprotein secreted by the parietal cells in the stomach, is essential for this process. Gastric acid and pepsin release vitamin B12 from dietary proteins, allowing it to bind with cobalophilin in the saliva. In the jejunum, cobalophilin is broken down, freeing vitamin B12 to bind with intrinsic factor. This complex is then absorbed in the distal ileum through specific receptors. Following gastrectomy, the production of intrinsic factor is impaired due to the removal of gastric tissue, making vitamin B12 absorption difficult. Therefore, vitamin B12 supplementation is necessary after gastrectomy to prevent deficiency.
other complications of gastrectomy include:
• Nutritional deficiencies- Iron deficiency anemia (most common), vitamin B12 deficiency, and osteoporosis
• Dumping syndrome: early and late
• Diarrhea
• Duodenal stump leak/blow out
• Bile reflux gastritis and esophagitis
• Gall stones
• Roux syndrome",,A,
Question 2,"A 1o-year-old child from a southern Indian state, hailing from a poor family, presents with rough and scaly skin. The child’s diet lacks vegetables and fruits. After treatment with linseed oil, vitamin A, and vitamin B, the symptoms subsided. what is the most likely diagnosis?","a) Lichen planus
b) Erythroderma
c) phrynoderma
d) keratosis pilaris","The cutaneous lesions with rough and scaly skin, with dietary history stating lack of vegetables and fruits is suggestive of phrynoderma.
phrynoderma are keratotic follicular papules commonly present over the elbows and knees. They can also extend to the shoulders, neck, back, thighs, buttocks, and abdomen. It is also known as toad skin, due to the rough cone-shaped elevated papules. It can be caused by deficiency of vitamins A, B complex, C, and E and essential fatty acids.
when it occurs due to vitamin A deficiency, it is associated with ophthalmic symptoms like xerophthalmia, night blindness, and Bitot's spots and cutaneous symptoms like xerosis, scaling, and acne.
Management includes nutritional improvement through diet, multivitamin supplementation, and treatment of the underlying cause.
Note: Linseed oil is rich in alpha-linolenic acid, which is an essential fatty acid.
The toad skin appearance of a child with phrynoderma is given below:
other options:
option A: Lichen planus is a papulosquamous lesion presenting as pruritic, purple, polygonal, planar, papules and plaques. These papules are often highlighted by white dots or lines called wickham striae, which are created by areas of hypergranulosis. The characteristic lesions in lichen planus are shown below:
option B: Erythroderma is a serious skin condition characterized by widespread redness (erythema) and scaling affecting more than 9o% of the body's surface area. It is also known as exfoliative dermatitis and often results from underlying skin disorders, systemic diseases, or drug reactions.
option D: keratosis pilaris is an inherited abnormality of keratinization. It affects the follicular orifices leading to keratotic follicular plugging, perifollicular erythema, and follicular atrophy. It usually occurs during puberty. They present as small, keratotic papules on the extensor aspects of the limbs, particularly the arms which can lead to ingrowing of the hair. Treatment is purely reserved for cosmetic purposes.",,C,"IMAGE A,IMAGE B,IMAGE C;extra1.png;957-717.PNG;957-716.PNG"
Question 3,"A patient presents to the emergency department with severe abdominal pain, nausea, and vomiting. The laboratory results show serum triglyceride levels > 2ooo mg/dl. which deficiency could be contributing to the patient's condition?","a) Apolipoprotein C II
b) Apolipoprotein B48
c) Apolipoprotein B1oo
d) Apolipoprotein A I","The elevated triglyceride levels and symptoms of acute pancreatitis are likely related to a deficiency in apolipoprotein C II.
Apolipoprotein C2 is a lipoprotein lipase cofactor that catalyzes cleavage of chylomicrons. Defective apo C II results in type I hyperlipoproteinemia/ familial lipoprotein lipase deficiency. The resulting inactive lipoprotein lipase leads to slow clearance of chylomicrons and VLDL, and low levels of LDL and HDL. Patients present with eruptive xanthomas and acute pancreatitis.
Lipoprotein lipase is an extracellular enzyme that is present in the capillary walls of most tissues. It is chiefly synthesized by the adipose tissue, and cardiac and skeletal muscles. A deficiency of lipoprotein lipase or apo C-II leads to type 1 hyperlipoproteinemia or familial chylomicronemia which leads to an increased risk of acute pancreatitis.
other options:
option B: Apo B48 is involved in the assembly of chylomicrons. Defects in this protein are not associated with familial hypercholesterolemia.
option C: Apo B1oo binds low-density lipoprotein receptors. For the uptake of LDL, apo B1oo acts as a ligand for the low-density lipoprotein receptor.
option D: Apo A1 activates lecithin cholesterol acyltransferase (LCAT). LCAT is the enzyme present in HDL, which is activated by apo A1. LCAT converts free cholesterol (amphipathic) in HDL to cholesterol ester(hydrophobic). The initial discoidal shape now becomes spherical. This facilitates reverse cholesterol transport.",,A,
Question 4,"After the age of 12, the boy had an intellectual disability. On examination, fingernail abrasions, excessive biting of lips, and increased levels of serum uric acid were observed. what is the likely diagnosis?","a) Hurler syndrome
b) Lesch-Nyhan disease
c) Hunter syndrome
d) von Gierke syndrome","The above clinical scenario with findings showing self-mutilation and laboratory values of hyperuricemia is most likely suggestive of Lesch-Nyhan disease.
Lesch-Nyhan syndrome is an X-linked recessive disorder due to a complete deficiency of the hypoxanthine-guanine phosphoribosyltransferase (HGPRT). This deficiency results in an inability to salvage hypoxanthine or guanine leading to increased levels of phospho-ribosyl pyrophosphate (PRPP). Increased PRPP leads to increased purine synthesis, which is later degraded to uric acid. Increased hypoxanthine is also converted to uric acid.
The patients have intellectual disability, behaviors of self-injury like lip and finger biting, developmental delay, muscle dystonia, and extrapyramidal symptoms.
Diagnosis is made by the elevated levels of uric acid and by HGPRT enzyme assay.
The image given below shows the metabolism of hypoxanthine and guanine by HGPRT.
orange diaper syndrome can be an early indicator of Lesch-Nyhan syndrome. At birth, individuals with Lesch-Nyhan syndrome typically appear asymptomatic, with normal prenatal growth and development. The condition is often first detected through the presence of orange-coloured crystals in the diaper, resulting from hyperuricemia. since hyperuricemia is a common feature across all variants of HGPRT deficiency, which causes Lesch-Nyhan syndrome, predicting associated neurodevelopmental abnormalities requires enzyme activity testing.",,B,IMAGE A;959-718.PNG
Question 5,"A neonate was brought with features of lethargy, and poor oral intake. On examination, a cataract was seen. urine Benedict's test was positive but negative for Glucose. what will be the enzyme deficiency in this condition?","a) Hexokinase
b) Galactokinase
c) Galactose-1-phosphate uridyl transferase
d) phosphofructokinase","The given clinical scenario of a neonate presenting with lethargy, and poor oral intake, with examination revealing a cataract and urine benedict's test was positive but negative for glucose, is suggestive of classical galactosemia and enzyme deficient is galactose-1-phosphate uridyl transferase.
Galactose-1-phosphate uridyl transferase deficiency leads to classical galactosemia. It is an autosomal recessive disorder. Normally, newborns receive up to 4o% of their intake as lactose (glucose + galactose). The deficiency of this enzyme leads to an inability to convert galactose-1-phosphate to uridine diphosphate galactose. This leads to the accumulation of galactose 1-phosphate and causes injury to the kidney, liver, and brain.
clinical features:
• Accumulation of galactose-1-phosphate in the liver causes liver damage & leads to hepatomegaly, vomiting, and convulsions.
• Accumulation of galactose-1-phosphate depletes the liver of inorganic phosphate leading to diminished ATP synthesis which affects gluconeogenesis resulting in hypoglycemia.
• Accumulation of galactose-1-phosphate in the nerves causes intellectual disability.
• Accumulation of galactitol in the lens causes oil-drop cataracts.
• Patients with galactosemia are at an increased risk of developing Escherichia coli neonatal sepsis.
In uridyl transferase deficiency, the epimerase is present in adequate amounts, so that the galactosemic individual can still form UDPGal from glucose. This explains how normal growth and development of affected children can occur despite the galactose-free diets.
Urinary reducing sugar (Benedict's test) and mucic acid test are positive. Direct enzyme assay using erythrocytes establishes the diagnosis.
Treatment is a galactose-free diet.
other options:
option A: Hexokinase is a glycolytic enzyme, involved in maintaining intracellular glucose concentration by catalysing the first step in glucose metabolism, i.e., phosphorylation of intracellular glucose. Its deficiency leads to hemolytic anaemia. splenomegaly may be another presenting feature.
option B: Galactokinase is the enzyme responsible for the conversion of galactose to galactose 1-phosphate. only cataract is seen in the deficiency of this enzyme because galactose-1-phosphate is not formed. Hence no toxic effects of this compound are manifested.
option D: Phosphofructokinase is a key regulatory enzyme of glycolysis and is necessary for the ATP-dependent conversion of fructose-6-phosphate to fructose-1,6-diphosphate. Tauri's disease is type VII glycogen storage disorder that results due to the deficiency of phosphofructokinase.",,C,IMAGE Q;960-719.PNG
Question 6,"A patient diagnosed with a rare homozygous recessive condition presented with ectopia lentis. In the peripheral smear, there was no megaloblastic anemia. Later, he was found to have elevated homocysteine levels in the blood. which of the following supplementations will help the patient?","a) Thiamine
b) pyridoxine
c) Biotin
d) Riboflavin","The vitamin that can be used as supplementation in this patient with homocystinuria is pyridoxine (vitamin B6).
classical homocystinuria is an autosomal recessive disease most commonly caused by a deficiency of the cystathionine β-synthase. The deficiency of this enzyme leads to an accumulation of homocysteine in the blood and a clinical syndrome of intellectual disability, subluxated ocular lenses, long and slender extremities, arachnodactyly, and arterial and venous thrombi. The skeletal features of homocystinuria often mimic Marfan syndrome. Folic acid and vitamin B12 deficiency can also lead to homocystinuria with megaloblastic anemia.
Demonstration of elevated total homocysteine in the blood confirms the diagnosis. 5o% of the cases of homocystinuria are termed pyridoxine-responsive because large doses of pyridoxine can enhance the activity of deficient enzymes in these patients. Administration of large doses of pyridoxine (vitamin B6) restores the activity of the deficient enzyme in half of all cases of homocystinuria.
Folate supplementation is also added to overcome any folate deficiency that might occur due to increased conversion of homocysteine to methionine. For the other 5o% of the patients, the treatment consists of methionine restriction and cysteine supplementation. In addition, betaine (methyl group donor), folate and vitamin B12 may be added.",,B,IMAGE A;961-720.PNG
Question 7,You received a text message from your friend JOHN DOE about occupational exposure after he visited his doctor as shown below. what is the test used to diagnose?,"a) Anthracosis
b) Lead poisoning
c) silicosis
d) Asbestosis","The test for coproporphyrinogen levels is used as a screening test to diagnose lead poisoning.
Lead inhibits the enzymes delta-aminolevulinic acid (ALA) dehydratase and ferrochelatase, which are involved in heme synthesis. ALA is converted to porphobilinogen by ALA dehydratase, inhibited by lead. So, serum porphobilinogen levels are decreased in lead poisoning.
Laboratory findings include the following:
• An elevated serum lead level
• An elevated level of protoporphyrin in blood and elevated ALA and coproporphyrinogen in urine
• Microcytic anemia with basophilic stippling in peripheral smear due to ineffective heme synthesis
clinical features of chronic lead poisoning include facial pallor, anemia, basophilic stippling of red cells, blue lines in the gums, and retinal stippling. In the later phase, the findings are colic abdominal pain, constipation, nerve palsy, encephalopathy, and disturbance of the genito-urinary and cardiovascular systems.
Diagnosis of lead poisoning:
Laboratory parameter: coproporphyrin in urine, Aminolevulinic acid (ALA) in urine, Lead in blood, Lead in urine, Basophilic stippling of RBcs
value: >15o mc g/L, >5 mg/L, >7o mc g/dL, o.8 mg/ L, -
Remarks: screening test- indicates exp osure; Indicates lead absorption; clinical symptoms appear; Indicates lead absorption; sensitive indicator",948-712.PNG,B,IMAGE Q
Question 8,"A 3-year-old child is brought to the OPD with complaints of persistent delayed developmental milestones, and hyperpigmented macular lesions on the body which are more pronounced on exposure to sunlight. what is the error in DNA multiplication?","a) Base excision repair
b) Nucleotide excision repair
c) DNA mismatch repair
d) Homologous recombination","The history points to a diagnosis of xeroderma pigmentosum. It is characterized by defective nucleotide excision repair.
Uv radiation leads to pyrimidine dimerization in DNA strands, preventing further replication by DNA polymerase. The nucleotide excision repair mechanism corrects the dimer formation in DNA. Xeroderma pigmentosum (Xp) is an autosomal recessive genetic disorder characterized by an inability to repair DNA pyrimidine dimers caused by Uv exposure. This leads to clinical and cellular hypersensitivity to ultraviolet (Uv) radiation.
In Xp the skin is normal at birth and has a three-stage progression:
• Diffuse erythema, scaling, and freckle-like areas over the sun-exposed regions of the body at around 6 months of age.
• The second stage is characterized by poikiloderma. This results in skin atrophy, telangiectasias with mottled hyperpigmentation, and hyperpigmentation.
• In the third stage appearance of cutaneous malignancies like squamous cell carcinomas, malignant melanoma, basal cell carcinoma, and fibrosarcoma.
Most of the cases with Xp have ocular manifestations. Initially, it appears as photophobia, conjunctivitis, ectropion, and symblepharon with ulceration. Accumulation of pyrimidine dimer causes corneal opacification and neovascularization. ocular malignancies are common in the lids, conjunctiva, and cornea as they are exposed to as much as facial skin. Xp is ultimately fatal, and early detection of the skin lesions and their management with prevention of Uv ray exposures prolong life.",,B,
Question 9,A patient with a family history of coronary heart disease presented with tendon xanthomas. His lipid profile showed serum LDL to be 28o mg/dL and triglyceride levels was 398 mg/dl. what is the likely defect in this patient?,"a) LDL receptor defect
b) LDL metabolism
c) VLDL metabolism
d) Lipoprotein lipase deficiency","The clinical presentation with tendon xanthomas, elevated serum LDL and elevated serum triglycerides points to a diagnosis of familial hypercholesterolemia and is due to a defect in LDL receptors.
Familial hypercholesterolemia (type IIa hyperlipoproteinemia) is an inherited disorder due to defects in LDL receptors and Apo B1oo. This decreases the uptake of Low-density lipoprotein and cholesterol leading to their increased levels in the blood. The increased LDL accumulates in the blood vessels causing atherosclerosis (premature coronary artery disease)and in the Achilles tendon causing tendon xanthomas. Xanthomas are tumorous masses produced by foamy cell clusters (lipid-laden macrophages) found in the connective tissue of the skin and tendons. patients can also have yellowish plaques around the eyes (Xanthelasma) and corneal arcus.
Treatment includes lifestyle changes, restriction of a fatty diet, and pharmacotherapy with statins in heterozygous FH patients.
Recent drugs for specific treatment of homozygous FH are:
• Lomitapide, a microsomal triglyceride transfer protein (MTp) inhibitor, and
• Mipomersen, an antisense oligonucleotide against apoB.
The image below shows Achilles tendon xanthoma and a plain lateral radiograph of both ankles showing bilateral symmetrical swellings (arrows) superior to the calcaneum respectively.
Note: Lipoprotein lipase (LPL) deficiency causes type I hyperlipoproteinemia due to defects in LPL or apo C-II. Eruptive xanthomas are seen. Chylomicrons and vLDL are elevated. LDL and HDL are low. There is no risk for coronary disease.",,A,"IMAGE A,IMAGE B;Picture1.png;Picture2.png"
Question 10,which food item among these is the primary source of thiamine in Indians?,"a) 1
b) 2
c) 3
d) 4","Among the various food items given on the plate, the primary source of thiamine (vitamin B1) in the Indian diet is option 4 i.e. chapati and rice.
The thiamine content in various foods in decreasing order are as follows:
• Gingelly seeds
• Groundnut
• Bengal gram
• whole wheat
• Rice
Gingelly (sesame) seeds have the highest content of thiamine.
Thiamine is lost from rice during the process of milling. As it is a water-soluble vitamin, washing, and cooking rice cause further losses. Hence, it is advisable to avoid highly polished rice and eat parboiled or under-milled rice.
Thiamine is essential for energy metabolism, particularly in carbohydrate processing. Its active form, thiamine diphosphate, acts as a coenzyme for three critical enzyme complexes: pyruvate dehydrogenase, α-ketoglutarate dehydrogenase, and branched-chain keto acid dehydrogenase. This coenzyme facilitates oxidative decarboxylation by forming a reactive carbanion that attaches to carbonyl groups like those in pyruvate, leading to the release of Co2. Thiamine diphosphate is also vital for transketolase in the pentose phosphate pathway.
Thiamine triphosphate, another form of thiamin, helps regulate nerve function by activating chloride channels in nerve membranes.
A thiamine deficiency can cause several conditions such as beriberi, characterized by peripheral neuritis, which can also involve heart failure and edema. Additionally, thiamine deficiency can lead to wernicke's encephalopathy and korsakoff's psychosis, commonly associated with alcohol or drug abuse. The lack of thiamine impairs the conversion of pyruvate to acetyl-CoA, leading to increased levels of lactate and pyruvate in the blood, which can result in dangerous lactic acidosis, especially in those consuming high-carbohydrate diets.",,D,IMAGE Q;965-721.PNG
