NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Q1,Arrange in sequence the structures involved in the direct pathway:,"a) 1,2,3,4,5
b) 5,4,2,3,1
c) 5,1,2,3,4
d) 1,3,4,2,5","The sequence of structures involved in the direct pathway is cortex > striatum > globus pallidus > substantia nigra > thalamus.
There are five parallel circuits that connect the frontal cortex to the striatum, pallidum, substantia nigra, and thalamus. These circuits have both direct and indirect pathways. The direct pathway stimulates the cortex to produce movement, whereas the indirect pathway inhibit it.
The cerebral cortex projects into the striatum. The striatum is seen projected into the pallidum and substantia nigra pars reticularis. In the direct pathway, striatal neurones project directly to the internal pallidum.
In parkinsonism disease, due to the death of neurons in substantia nigra activity of the direct pathway is reduced and the indirect pathway is increased. This results in bradykinesia. whereas in Huntington's disease, the activity of the indirect pathway is affected resulting in choreic involuntary movements.",,C,250-248.PNG
Q2,what is the volume of the prostate in normal adult males?,"a) 2occ
b) 5occ
c) 75cc
d) 1oocc","The volume of the prostate in normal adult males is 2occ.
prostate is an accessory glandular tissue embedded in the fibromuscular stroma. It usually weighs 8 grams in the young adults and its weight ranges from 4o-15o grams in men aged >5o years.
The prostate has three distinct zones: Transitional, central, and peripheral.
The prostate is composed of 5 lobes. They are anterior, posterior, two lateral and one medial or middle lobe.
The median lobe of the prostate forms the uvula vesicae. It is an elevation found in the lower part of the bladder trigone. It is the most common site of adenoma.",,A,252-251.PNG
Q3,which ligament connects medial cuneiform to the base of the 2nd metatarsal?,"a) chopart
b) spring
c) Lisfranc
d) Deltoid","The Lisfranc ligament connects the medial cuneiform to the base of the 2nd metatarsal.
Lisfranc ligament is a cuneometatarsal interosseous ligament. It is the strongest ligament among the three cuneometatarsal interosseous ligaments. It passes from the lateral surface of the medial cuneiform to the adjacent angle of the second metatarsal bone.
other options:
option A: chopart's ligament is related to both calcaneocuboid and calcaneonavicular joints.
option B: spring ligament also known as the plantar calcaneonavicular ligament connects the sustentaculum tali to the navicular.
option D: Deltoid ligament also called the medial collateral ligament is attached to the apex, anterior and posterior borders of the medial malleolus.",,C,253-252.PNG
Q4,Fibres of the given structure originate from ?,"a) Amygdala
b) Mammillary body
c) caudate nucleus
d) Hippocampus","The given structure is the fornix and its fibres arise from the hippocampus.
The fornix is a part of the connecting pathways of the limbic system. It arises from the hippocampus which wraps around the thalamus and ends in the mammillary body. It connects the hippocampus with distal brain sites.
The fornix has two types of fibres: Association fibres and commissural fibres.
The blood supply of fornix is by the anterior communicating artery which arises from the anterior cerebral artery.",234-234.PNG,D,256-257.PNG
Q5,which structure is supplied by the nerve causing this elevation?,"a) Lateral rectus
b) superior oblique
c) Risorius
d) Levator palpebrae superioris","Risorius is supplied by the facial nerve which causes the elevation marked. The image shows the floor of the fourth ventricle and the facial colliculus is marked.
The facial colliculus is present in the superior part, which presents as a small elevation produced by the root of the facial nerve winding around the nucleus of the abducens nerve.
Risorius falls under the buccolabial muscle group and act as the elevator, retractor and evertor of the upper lip. It is involved in actions like grinning and laughing and is innervated by the buccal branches of the facial nerve.
other options:
option A: Lateral rectus is innervated by the abducens nerve.
option B: superior oblique is innervated by the trochlear nerve.
option D: Levator palpebrae superiors is innervated by the oculomotor nerve.",234-233.PNG,C,257-259.PNG
Q6,Arrange lung hilar structures from anterior to posterior:,"a) 1,2,3,4
b) 2,3,4,1
c) 3,4,1,2
d) 4,3,2,1","Lung hilar structures are arranged from the anterior to posterior in the order:
• pulmonary vein
• pulmonary artery
• primary bronchus
• Bronchial artery
The medial surface of the lung is connected to the heart and trachea by a group of structures that enter or leave the hilum. It is called the pulmonary root.",,C,260-265.PNG
Q7,which is not a branch of facial artery in the face?,"a) Lateral nasal
b) Mental
c) superior labial
d) Inferior labial","Mental is not a branch of the facial artery but the branch of the maxillary artery in the face.
The first part of the maxillary artery gives rise to the mental artery as a terminal branch of the inferior alveolar artery.
The facial artery is a branch of the external carotid artery.
Branches of facial artery in the face:
premasseteric artery, superior and inferior labial arteries, Lateral nasal artery, Angular artery.",,B,261-266.PNG
Q8,which of the following structures passing via jugular foramen has a separate canal?,"a) Hypoglossal nerve
b) Glossopharyngeal nerve
c) vagus nerve
d) Accessory nerve","The glossopharyngeal nerve passing through the jugular foramen has a separate canal.
The jugular foramen is formed by the occipital bone and the petrous part of the temporal bone. The spinal accessory nerve and vagus nerve also pass through this foramen.
The glossopharyngeal nerve leaves the skull through the anteromedial part of the jugular foramen in a separate dural sheath.
The glossopharyngeal nerve is rarely damaged alone. Lesions will result in loss of sensation of the posterior third of the tongue, reduced gag reflex, loss of sensation over the ipsilateral soft palate etc.",,B,263-268.PNG
Q9,what is the nerve supply of the structure marked in the image?,"a) Radial nerve
b) Median nerve
c) ulnar nerve
d) Musculocutaneous nerve","The median nerve supplies the 1st lumbrical which is marked.
There are four lumbrical muscles. They originate from the tendons of the flexor digitorum profundus.
The action of lumbricals is flexion at the metacarpophalangeal joint and extension of interphalangeal joints.
The median nerve innervates the first and second lumbricals. The deep terminal branch of the ulnar nerve innervates the third and the fourth.
The muscles supplied by the median nerve in the hand are flexor pollicis brevis, abductor pollicis brevis, and opponens pollicis.",236-236.PNG,B,264-270.PNG
Q10,A child lacks thymus and inferior parathyroid glands. Defective development of which of the following structures is likely to be the cause?,"a) 1
b) 2
c) 3
d) 4","The given clinical scenario is suggestive of DiGeorge syndrome. Defective development of the third pharyngeal pouch marked as 3 causes this condition.
A child with DiGeorge syndrome lacks thymus and inferior parathyroid glands due to defective development of the 3rd pharyngeal pouch. It is caused by chromosome 22q deletion and is characterized by the following (Mnemonic: cATcH-22)
• cleft palate
• Abnormal facies
• Thymic aplasia leading to T-cell deficiency and recurrent infections
• cardiac defects
• Hypocalcemia, secondary to parathyroid aplasia.",236-235.PNG,C,266-272.PNG
