number,question,options,solution,image_q,answer_key,image_a
Q1,which of the following is true about the flap given in the image.,"a)Pedicled TRAM based on superior epigastric artery
b)Free TRAM based on superior and inferior epigastric artery
c)DIEP based on deep inferior epigastric artery
d)Lower Abdominal Fat based inferior epigastric vessels","The given image showing only skin and fat moved to the chest is suggestive of a deep inferior epigastric artery perforator flap (DIEP), based on the deep inferior epigastric artery.



DIEP is a variant of TRAM flap and free flap where only the skin and fat are moved to the chest. A microvascular technique is used in which no muscle is taken and the perforating vessels are
dissected out.
As the muscle is spared in DIEP, there is a reduced risk of abdominal wall weakness and its associated complications.
other options:
options A and B: The pedicled TRAM flap is based on the superior epigastric artery and the free TRAM flap is based on superior and inferior epigastric arteries (supercharged TRAM flap);
however, the given image depicts a deep inferior epigastric artery flap. In TRAM flaps:
• The skin, fat, and muscle are moved to the chest.
• It provides good cosmesis and bulk since it has a soft tissue consistency similar to the breast.
• Disadvantages include epigastric bulge, partial flap loss, fat necrosis, abdominal wall weakness, and hernias.
The given image below shows a TRAM flap:",4835-3020.PNG,C,4845-3025.PNG
Q2,what is the most common site of gastrinoma in MEN 1 syndrome?,"a)Jejunum
b)Ileum
c)Duodenum
d)stomach","The most common site of gastrinoma in MEN 1 syndrome is the duodenum.
Gastrinoma is the most common pancreatic islet tumor in MEN 1 syndrome, arising from the G  cells of the pancreas. Gastrinoma, associated with marked gastric acid production and recurrent peptic ulcers, is called zollinger-Ellison syndrome. The majority of gastrinomas occur in the
gastrinoma (Passaro's) triangle.
In MEN 1, they often occur in patients &lt;3o years. Patients present with abdominal pain (the most common symptom), diarrhea and steatorrhea.
Management:



• Medical management for tumors &lt;2 cm with proton-pump inhibitors.
• surgery for tumors &gt;2 cm.
• Proton-pump inhibitors with somatostatin analogues for advanced locoregional disease or metastasis.",,C,
Q3,A 5o-year-old male who is a chronic smoker presented to the hospital with intermittent     claudication pain of both thigh and buttock region on walking about 5oo m. which of the following is a likely diagnosis?,"a)Arterial disease involving the superficial femoral artery
b)Arterial disease with aortoiliac involvement
c)Femoral venous insufficiency
d)Arterial disease involving the profunda femoris artery","The given clinical scenario is suggestive of arterial disease with aortoiliac involvement. classically, the muscle group affected by claudication is one anatomical level below the level of arterial
disease.
Intermittent claudication is a feature of chronic arterial disease or occlusion of the artery.
Aortoiliac disease affects the infrarenal aorta and iliac arteries.
Management involves smoking cessation, lifestyle modifications, and treatment of underlying diabetes or hyperlipidemia if present.
For claudication, cilostazol or pentoxyfilline is used. cilostazol is superior to pentoxyfilline.
surgical options include aortoiliac bypass, aortobifemoral bypass, percutaneous transluminal
angioplasty (PTA), which can be with or without stent placement, and thromboendarterectomy.

correlation of clinical finding s to the site of Disease	
Aortoiliac obstruction	claudication inbuttocks, thig  hs, and calvesBruit over the a ortoiliac regionImpotence(Le  riche's syndrome)
Iliac obstruction	claudication ofthigh and calf, unilaterallyAbsence of femor  al and distal pulsesBruit over iliac region
Femoropopliteal obstruction	claudication incalfFemoral p ulse felt but distal pulses abs ent
Distal obstruction	Ankle pulses absentclaudicat ion incalf and footFemoral a   nd popliteal pulses palpable",,B,
Q4,which of the following statements is true about retrosternal goitre?,"a)operated in all patients regardless of symptoms
b)sternal incision is always required to operate
c)It receives blood supply from the thoracodorsal artery
d)Most of the retrosternal goitres can be removed by a neck incision","Most of the retrosternal goiters can be removed by neck incision (transcervical approach).
Retrosternal goitre is defined as having &gt;5o% of the goiter below the suprasternal notch. It can be either primary or secondary.



• primary: rare and arises from ectopic thyroid tissue in the mediastinum; receives blood supply from intrathoracic blood vessels. It is not related to thyroid tissue in the neck.
• secondary: they are the most common type; an extension of enlarged thyroid from the neck,   usually arising from the lower pole of nodular goitre. It receives its blood supply from superior and inferior thyroid vessels.
The majority of patients are asymptomatic or have minimal symptoms. If the gland enlarges within the thoracic inlet, the pressure may lead to dysphagia, tracheal compression, and
eventually airway symptoms. pemberton sign can be positive (facial flushing and dilatation of cervical veins upon raising the arms above the head).
CECT neck and thorax is the investigation of choice.
over 95% of retrosternal goiters can be removed via a transcervical incision since they are an extension from thyroid tissue in the neck.
other options:
option A: surgical removal of the retrosternal goiter is indicated in patients with significant
airway compression, and in young patients who have symptoms such as dyspnoea or dysphagia.
option B: Median sternotomy approach is indicated in:
• primary mediastinal goiter
• Malignant retrosternal goitre
• very large retrosternal goiter
• Recurrence in the mediastinum
For a primary mediastinal goiter whose boundaries are completely within the chest, resection is often achieved through median sternotomy or thoracotomy to ensure that the vessels supplying the tumor are properly ligated. Removing the tumor through a cervical approach can result in    uncontrolled bleeding and is generally avoided.
option C: Blood supply to the retrosternal goiter is from the thyroid vessels (secondary retrosternal goiter).",,D,
Q5,"while performing surgery on a patient who presented with clinical features suggestive of peritonitis, a diverticular perforation is seen along with fecal peritonitis. what is the
Hinchey's stage?","a)stage 1
b)stage 2
c)stage 3
d)stage 4","Fecal peritonitis belongs to grade 4 in the Hinchey classification.
Diverticulitis refers to the inflammation and infection associated with the diverticula. Hinchey
classification is the most commonly used classification for the severity and complication of acute diverticulitis. It is used additionally to guide the overall management of acute diverticulitis.

Hinchey classification:	
stage 1	Mesenteric or pericolic absce ss
stage 2	pelvic abscess
stage 3	purulent peritonitis




Hinchey classification:	
stage 4	Fecal peritonitis",,D,
Q6,"An 8o-year-old woman presented with complaints of fatigue. on imaging, she was found to
have a scleroatrophic gall bladder with impacted stones in it. A large stone was also present in the common bile duct and the biliary tree is dilated. what is the next step in management?","a)Immediately take up patient for cholecystectomy
b)Endoscopic retrograde cholangiopancreatography
c)wait and watch
d)CT scan","An 8o-year-old woman with imaging showing a scleroatrophic gall bladder with impacted stones and a stone in the bile duct is suggestive of chronic cholelithiasis with choledocholithiasis. ERCP is the next line of management for this patient.
Choledocholithiasis is the presence of stone in the common bile duct (CBD) or biliary tree. It can be primary or secondary:
• Primary stones are formed in the CBD or biliary tree itself and are rare.
• secondary stones are passed from the gallbladder to the CBD. They are easier to manage than primary stones.
It can be an asymptomatic and incidental finding or present with features such as jaundice (most common), abdominal pain, and fatigue. when there is inflammation of the biliary tree
(cholangitis), the patient will have intermittent pain, fever, and jaundice (Charcot's triad).
Investigations:
• Liver function tests will show elevated direct bilirubin and alkaline phosphatase levels.
• Abdominal ultrasound is the first imaging modality done and may show gallstones and dilated bile duct (&gt;8 mm).
• CT is sensitive for CBD stones. It shows stones, location, ductal stricture or block, ductal dilatation, and intrahepatic biliary changes.
• MRCP is highly sensitive and specific for CBD stones, but it is only diagnostic and intervention cannot be performed.
Management:
• ERCP with sphincterotomy is the procedure of choice, followed by the removal of stones using a dormia basket or placement of a stent.
• Despite ERCP being an invasive procedure, it has the advantage of being both a diagnostic and  therapeutic procedure and is more suited for elderly patients who cannot tolerate anesthesia and surgery.
other options:
option A: Cholecystectomy is not recommended for elderly patients, owing to the risk of old age and associated anesthetic and surgical complications.
option C: wait and watch approach can be done for asymptomatic patients, and patients with smaller stones.
option D: CT is sensitive for CBD stones, but it is only diagnostic and intervention cannot be performed.",,B,
Q7,A 35-year-old man presented with recurrent episodes of fever with chills. MRCP image is shown below. what is the most likely diagnosis?,"a)Primary sclerosing cholangitis
b)Caroli disease
c)oriental cholangitis
d)Primary biliary carcinoma","The presence of fever and chills, along with the MRCP showing multiple areas of
intrahepatic beading is typical of primary sclerosing cholangitis.
option B: Caroli's disease is a rare congenital condition characterized by irregular dilatation of the intrahepatic bile ducts with a normal extrahepatic duct system. It is common in both sexes and
mostly presents before the age of 3o years with abdominal pain, cholangitis, or end-stage liver
disease. MRCP shows irregular, cystic dilation of the large proximal intrahepatic bile ducts with a normal common bile duct.
Primary sclerosing cholangitis (PsC) is an autoimmune condition characterized by inflammatory   strictures involving the intra and extra-hepatic biliary tree. It is a progressive condition that leads to secondary biliary cirrhosis.
MRCP or ERCP will show demonstrate multifocal, diffuse dilatation and strictures of the
intrahepatic and extrahepatic biliary trees, this pattern is a beading or chain of lakes appearance.  Pseudodiverticula of extrahepatic bile ducts are pathognomic of PsC. MRCP is useful in diagnosis and surveillance, while ERCP is reserved for the treatment of dominant strictures and to exclude   malignancy.
The below image shows a cholangiogram of primary sclerosing cholangitis:


The common age group of primary sclerosing cholangitis is 3o-45 years. Men are affected twice as commonly as women. Two-thirds of these cases are associated with ulcerative colitis. It is also
associated with Riedel’s thyroiditis and retroperitoneal fibrosis. 1o–2o% of patients develop cholangiocarcinoma.
Clinical features of a patient with PsC include pruritis, fever, chills, right upper quadrant discomfort, jaundice, and weight loss.
Liver function tests show a cholestatic pattern with an elevation of ALP and GGT and smaller rises in the aminotransferases. Bilirubin values may be variable.
Liver biopsy excludes other causes of cholestatic liver disease and defines the stage of PsC. It shows onion skin concentric periductal fibrosis. with disease progression, periportal fibrosis



occurs, progressing to bridging necrosis, and eventually biliary cirrhosis.
Currently, there is no known effective medical therapy. surgical management involving resection of extrahepatic biliary tree and hepaticojejunostomy has shown reasonable effects. For patients    with advanced liver disease, liver transplantation is the only available option.
other options:
option C: oriental cholangitis, also known as recurrent pyogenic cholangitis is characterized by recurrent attacks of cholangitis due to bile stasis and stone formation. patients between 3o-4o
years and both sexes are equally affected. It is caused due to infections (liver flukes, E.coli,
klebsiella, pseudomonas, and proteus). patients present with Charcot's triad (intermittent fever,   pain, and jaundice). MRCp shows intra or extrahepatic calculi, dilatation of ducts, and strictures. option D: Biliary carcinoma  (cholangiocarcinoma) most commonly affects patients &gt;6o years  and presents with fever, abdominal pain, weight loss, and features of obstructive jaundice. MRCp shows irregular narrowing of the bile duct involved by the tumor, with asymmetric upstream
dilatation of the intrahepatic ducts.",4837-3021.PNG,A,4849-3026.PNG
Q8,A 5-year-old child with wilson's disease is being considered for liver transplantation. which of the following is not a parameter in the selection criteria for transplantation?,"a)Age &lt;1oyears
b)PT &gt;1oo s
c)Bilirubin &gt;3oo μmol/L
d)Jaundice less than 7 days before development of encephalopathy","A 5-year-old child with wilson's disease is a case of non-paracetamol-induced acute liver failure and jaundice for more than 7 days before the development of encephalopathy is one of the
parameters in the king's College criteria for liver transplantation.
It includes the following parameters:
Non-paracetamol-induced acute liver failure:
• pT &gt;1oo s (INR &gt;6.5) or/and
• Any three of the following:
• Age &lt;1o years or &gt;4o years
• Etiology non-A, non-B hepatitis, or idiosyncratic drug reaction
• Jaundice more than 7 days before the development of encephalopathy i.e., not hyperacute
• pT &gt;5o s (INR &gt; 3.5)
• Bilirubin &gt; 18 mg/dl (3oo μmol/L)
paracetamol-induced acute liver failure:
• pH &lt;7.3o (irrespective of the grade of encephalopathy) or/and
• All three of the following:
• prothrombin time &gt;1oo s (INR &gt;6.5)
• serum creatinine &gt;3.4 mg/dl (3oo μmol/L)
• Grade 3 or 4 hepatic encephalopathy",,D,
Q9,The most common neuroendocrine tumor of the pancreas is,"a)Gastrinoma
b)Somatostatinoma
c)Insulinoma
d)VIPoma","The most common neuroendocrine tumor of the pancreas is insulinoma (4 per million).
Insulinoma is an insulin-producing tumor of the pancreas, with more than 9o% of them being
benign. It occurs in &gt;4o years in patients without MEN 1 syndrome and &lt;4o years in patients with MEN 1. It presents with symptoms of hypoglycemia such as weakness, headaches, sweating,   faintness, seizures, and altered behavior. These occur after fasting or exertion and improve after     glucose intake.
The investigation of choice for insulinoma is the determination of 72-hour fasting
glucose and serum insulin levels. C-peptide and proinsulin levels are also elevated.
Medical management includes:
• Frequent carbohydrate-rich meals
• Somatostatin analogs like octreotide are effective in controlling symptoms due to excess insulin secretion. They should be used with caution as they can suppress counterregulatory hormones,    such as growth hormone (GH), glucagon, and catecholamines, and precipitously worsen
hypoglycemia.
• Diazoxide can be used in the initial management of insulinoma as it inhibits insulin release. Its side effects include sodium retention and nausea.
• Everolimus has been found to be highly effective in improving glycemic control in patients with insulinoma owing to its antitumor effect and induction of insulin resistance.
Enucleation and pancreatectomy are the definitive surgical management of insulinoma.
other options:
option A: Gastrinoma has an incidence of o.5 to 4 in a million.
options B &amp; D: Somatostatinoma and vIPoma are much rarer than gastrinoma.",,C,
Q10,ASEPSIS wound scoring takes all of the following into consideration except:,"a)wound swab from the site
b)Serous discharge
c)Erythema
d)Induration","ASEPSIS wound score does not take induration into consideration. Instead, the I in ASEPSIS stands for the isolation of bacteria from the wound.
ASEPSIS wound score and Southampton wound score are used to determine the severity of the surgical site wound infection (SSI).
ASEPSIS score includes:
• Additional treatment
• Antibiotics for wound infection
• Drainage of pus under local anesthesia
• Debridement of the wound under general anesthesia



• serous discharge
• Erythema
• purulent exudate
• separation of deep tissue
• Isolation of bacteria from the wound
• stay as inpatient prolonged over 14 days as a result of wound infection",,D,
