NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Question 1,calculate the therapeutic index of a drug whose dose-response curves are plotted as shown below:,"a) 1
b) 2
c) 4
d) 8","The therapeutic index is 4.
In the above graph,
Median lethal dose (LD5o) = 4oo
Median effective dose (ED5o) = 1oo
Therapeutic index (TI) = LD5o/ED5o.
Hence,
Therapeutic index (TI ) = 4oo/1oo = 4
Clinically, the therapeutic range bound by the dose that produces the minimal therapeutic effect and the dose that produces the maximal acceptable adverse effect is more relevant.",1080-752.PNG,C,IMAGE Q
Question 2,which of the following statements is true regarding the dose-response curve shown in the image below?,"a) C is competitive antagonist
b) C is more potent than A
c) B is more potent than A
d) B is competitive antagonist","In the above image, drug B is a competitive antagonist.
In competitive antagonism, the DRC is shifted to the right whereas in non-competitive antagonism the DRC is flattened.
Thus in the above image Drug B is the Competitive antagonist while drug C is the non-competitive antagonist.
Potency:
• It is defined as the amount of drug needed to produce a given response.
• A highly potent drug evokes a given response at low concentrations and vice-versa.
• The more the curve is on the left in a dose-response curve (DRC), the greater is its potency.
• Thus, in the above image, the potency is drug A > drug C > drug B.
Efficacy:
• It is defined as the maximum effect produced by the drug.
• It expresses the effect produced by the receptors when bound by a certain drug.
• In the log dose-response curve, the perpendicular height represents the drug efficacy.
• Thus, in the above image, the efficacy is drug A 〓 drug B > drug C.",1081-753.PNG,D,IMAGE Q
Question 3,which of the following antiglaucoma medications is unsafe in infants?,"a) Timolol
b) Brimonidine
c) Latanoprost
d) Dorzolamide","The use of brimonidine is unsafe in infants. It is an alpha-2 agonist that can cross the blood-brain barrier. This may result in CNS depression and apnoea in neonates. Therefore it is contraindicated in children less than 2 years.
α2 agonists, through the activation of G-protein coupled receptor activation, inhibit the activity of adenylate cyclase. This reduces cAMP and hence reduces aqueous humor production by ciliary action.",,B,
Question 4,Apparent volume of distribution of a drug is very high (6L/kg). which of the following is true regarding the distribution of that drug?,"a) Highly bound to plasma proteins
b) Confined to vascular compartment
c) sequestered in body tissues
d) Both A and B","In the present case, the volume of distribution of the drug is 6L/kg (42o L in a normal adult with reference weight 7okg) which is very high when compared to the total body water of 42L. Therefore, it can be implied that the drug is having high sequestration in tissues.
The apparent volume of distribution (vd) is an imaginary volume throughout which the drug is distributed if the plasma concentration remains constant throughout.
vd 〓 Dose administered Iv/ plasma concentration
The difference in the volume of distribution based on drug type:
• Low vd
• Restricted to the intravascular compartment
• seen in drugs with high molecular weight (e.g., heparin) or high protein binding (e.g., warfarin - 9.8L)
• Medium vd
• Lipid insoluble drugs (e.g., gentamicin - 2OL) do not enter the cells and are distributed in the extracellular fluid volume
• small water-soluble molecules (e.g., ethanol - 42L) are distributed in the total body water
• High vd
• sequestered and accumulated in the tissues
• small lipophilic molecules (e.g., chloroquine - 13OOOL)",,C,
Question 5,Which of the following phases of a clinical trial is also referred to as efficacy trial?,"a) phase 1
b) phase 2
c) phase 3
d) phase 4","Efficacy and appropriate dose range is the main aim of phase 2 of clinical trials. It is evaluated on a small group of patients with the target disease.
phase II of clinical trials involve a small group of patients (5O-5OO). Most of the new drugs will be administered for the first time in patients with the target disease. The study is designed to obtain proof of concept (potential of the drug to treat the disease) and dose-ranging study (provides input for choosing the most appropriate dose for phase 3 studies).
phase 3 studies are also known as pivotal studies as they establish treatment benefits.",,B,
Question 6,which of the following is an oral factor xa inhibitor?,"a) Bivalirudin
b) Dabigatran
c) Rivaroxaban
d) Enoxaparin","Rivaroxaban is an oral direct factor xa inhibitor. They represent a new class of oral anticoagulant drugs that do not require monitoring.
This group of drugs inhibit factor xa in the final common pathway of clotting [conversion of prothrombin (Factor II) to thrombin (Factor IIa)]. They are given as fixed doses and have a rapid onset of action.
oral direct factor xa inhibitors are indicated in:
• prevention of embolic stroke in patients with atrial fibrillation (without valvular heart disease)
• venous thromboembolic disease (vTE)
• postoperative thromboprophylaxis in patients undergoing hip and knee arthroplasty",,C,
Question 7,what is the drug of choice for diphtheria carrier state?,"a) Amoxicillin
b) Erythromycin
c) Rifampicin
d) Tetracycline","The drug of choice for diphtheria carrier state is erythromycin.
Erythromycin for 7 days is very effective for eradicating the diphtheria carrier state or acute infections.",,B,
Question 8,what is the mechanism of action of oseltamivir and zanamivir?,"a) DNA polymerase inhibition
b) protein synthesis inhibition
c) Nucleotide analogue
d) Neuraminidase inhibition","oseltamivir and zanamivir are neuraminidase inhibitors.
They competitively and reversibly interact with the enzyme sites to inhibit viral neuraminidase activity. This interferes with the release of the progeny from infected host cells, halting the spread of infection.
Early administration hastens the resolution of symptoms if given within 48 h of infection.
oseltamivir is given at a dose of 75 mg, BD for 5 days for the treatment of Influenza A and B. For prophylaxis, it is given at a dose of 75mg, oD and continued for the duration of exposure.",,D,
Question 9,which of the following is a synthetic PGF2 alpha derivative used as an abortifacient?,"a) Dinoprost
b) Dinoprostone
c) Misoprostol
d) carboprost","Carboprost is a 15-methyl synthetic derivative of PGF2 alpha. It is used as an abortifacient and in refractory PPH.
options A: Dinoprost is a natural PGF2 alpha preparation.
option B: Dinoprostone is natural PGE2 preparation.
option C: Misoprostol is a synthetic PGE1 analog. Gemeprost is also a synthetic PGE1 analog.",,D,
Question 10,which of the following drugs causes activation of K+-ATP channels?,"a) Nicorandil
b) Molsidomine
c) Isosorbide dinitrate
d) Nitroglycerin","Nicorandil causes activation of K+-ATP channels. This leads to the hyperpolarization of the smooth muscle cells leading to vasodilatation.
It also has nitrate like cGMP dependent action. Nicorandil dilates both arteries and veins leading to a decrease in afterload and preload of the heart.
Molsidomine, isosorbide dinitrate, and nitroglycerin are nitrates. They do not act on K-ATP channels.",,A,
Question 11,Most effective antiemetic for chemotherapy-induced vomiting is_________.,"a) Domperidone
b) Tegaserod
c) Granisetron
d) Doxylamine","Granisetron is a 5HT3 receptor antagonist. They are the most effective drugs for the treatment of chemotherapy-induced and post-operative nausea and vomiting.
Palonosetron is a second-generation 5HT3 antagonist that has the highest affinity for 5HT3 receptors and has the maximum potency. It is also the longest acting that makes it effective in delayed emesis associated with chemotherapy. Palonosetron has minimal/no propensity to cause QT interval prolongation.",,C,
