NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Question 1,which of the following is an inhibitor of DNA synthesis?,"a) 6-mercaptopurine
b) Mitomycin
c) Actinomycin
d) Asparaginase","6-Mercaptopurine is an inhibitor of DNA synthesis.
6-Mercaptopurine is inactive in its parent form. It must be metabolized by hypoxanthine-guanine phosphoribosyltransferase to form monophosphate nucleotide 6-thioinosinic acid. This inhibits several enzymes of de novo purine nucleotide synthesis.
option B- Mitomycin acts as an alkylating agent and crosslinks DNA. It also generates free radicals which damage DNA.
option C- Actinomycin causes single-strand breaks in DNA. It blocks RNA transcription as well.
option D- L-Asparaginase causes the breakdown of asparagine and thus interferes with protein synthesis.",,A,
Question 2,"A patient on lithium therapy developed hypertension. He was started on thiazides for hypertension. After few days, he developed coarse tremors and other symptoms suggestive of lithium toxicity. Explain the likely mechanism of this interaction.","a) Thiazide inhibits the metabolism of lithium
b) Thiazides act as an add on drug to lithium
c) Thiazides increase the tubular reabsorption of lithium
d) Thiazides cause water loss therby increase lithium levels","Thiazides act by increasing the tubular reabsorption of lithium.
Thiazide use is accompanied by sodium loss which is compensated in a few days by increased reabsorption of Na+ in the proximal tubule.
The kidney handles both lithium and Na+ in the same way. Thus, along with Na+ reabsorption, there will be an increase in the reabsorption of lithium also, resulting in decreased excretion of lithium.",,C,
Question 3,which of the following should not be prescribed with theophylline?,"a) Erythromycin
b) cefotaxime
c) cotrimoxazole
d) Amoxicillin","Erythromycin should not be prescribed with theophylline.
Theophylline is mainly metabolized by Cyp1A2 in the liver. Erythromycin inhibits Cyp1A2 and thereby decreases the clearance of theophylline.
Factors decreasing the clearance of theophylline are:
• Drugs - erythromycin, cimetidine, ciprofloxacin, allopurinol, fluvoxamine, zileuton, zafirlukast
• Congestive heart failure
• Liver disease
• pneumonia
• viral infection and vaccination
• High-carbohydrate diet
• old age",,A,
Question 4,which of the following drugs gets deposited in cornea?,"a) Leflunamide
b) chloroquine
c) Methotrexate
d) sulfasalazine","Chloroquine, an anti-malarial drug may get deposited in the cornea leading to corneal opacity. ocular toxicity of chloroquine:
• short-term therapy - blurring of vision and diplopia, reversible on stoppage of drug.
• Long-term use (high-dose):
• keratopathy
• pigmentary retinopathy
• optic atrophy
Hydroxychloroquine has lower ocular toxicity compared to chloroquine.
Drugs causing corneal opacity:
• Amiodarone
• phenothiazine
• Indomethacin
• chloroquine
Long-term treatment with these drugs can cause a whorl-like opacity in the corneal epithelium called cornea verticillata. It is also seen in Fabry's disease.",,B,
Question 5,A patient was prescribed an antipsychotic drug following which he developed parkinsonism. which of the following drugs■ can be given?,"a) Trihexiphenidyl
b) Entacapone
c) Rasagiline
d) Pramipexole","Trihexyphenidyl is the drug of choice for drug-induced parkinsonism. It is a central anticholinergic.
Drug-induced parkinsonism is a condition caused by certain drugs having D2 antagonistic action (typical antipsychotics). The decrease in dopaminergic activity results in an unbalanced cholinergic activity. Anticholinergics act by restoring the balance.",,A,
Question 6,which of the following antiarrhythmic drugs is contraindicated in a patient with interstitial lung disease?,"a) Amiodarone
b) sotalol
c) Quinidine
d) Lignocaine","Amiodarone is contraindicated in a patient with interstitial lung disease.
The most serious adverse effect during chronic amiodarone therapy is pulmonary fibrosis, which can be rapidly progressive and fatal. underlying lung disease, doses of 4oo mg/day or more, and recent pulmonary insults such as pneumonia appear to be risk factors for this condition.
Amiodarone is a class III antiarrhythmic drug.
The side effects of amiodarone include:
• pulmonary fibrosis
• Hypotension, depressed ventricular function
• Torsades de pointes
• corneal microdeposits
• Hepatotoxicity
• Neuropathies
• photosensitivity
• Thyroid dysfunction",,A,
Question 7,which of the following drugs acts by inhibiting the late sodium current in the heart?,"a) Ivabradine
b) Ranolazine
c) Trimetazidine
d) Fasudil","Ranolazine acts by inhibiting the late sodium current in the heart.
Late sodium current (INa) facilitates entry of calcium via the sodium-calcium exchanger. Inhibition of INa, therefore, reduces the intracellular calcium concentration which in turn reduces the diastolic tension, cardiac contractility and work.
At higher doses, it may also modify the fatty acid oxidation, which improves the efficiency of cardiac oxygen utilization.
It is used in the prophylaxis of angina.",,B,
Question 8,A patient with diabetes and COPD developed post-operative urinary retention. which of the following drugs can be used for short-term treatment of the condition?,"a) Tamsulosin
b) Bethanechol
c) Terazosin
d) Methacoline","Tamsulosin is the drug used to relieve the symptoms in cases of postoperative urinary retention in a patient with CoPD.
It is also efficacious in the treatment of benign prostatic hyperplasia (BPH) with little effect on blood pressure.
option B: Bethanechol is the drug of choice to relieve the symptoms in cases of postoperative urinary retention. However, it can cause bronchoconstriction in patients with CoPD. Hence tamsulosin is the best answer here.
option C: Terazosin is an α1 receptor antagonist, used in the treatment of benign prostatic hyperplasia (BPH).
option D: Methacholine is a muscarinic agonist but acts specifically on bronchial smooth muscle causing its contraction. It is available as an inhalational agent and is used for the diagnosis of bronchial hyper-reactivity in patients who do not have clinically apparent asthma.",,A,
Question 9,which of the following drugs is used for the treatment of motion sickness?,"a) cetrizine
b) promethazine
c) Misolastin
d) Loratidine",Promethazine is used for motion sickness. It is an antihistaminic agent that acts as an antagonist of H1 receptors. It also has central anticholinergic activity that is responsible for its antiemetic action.,,B,
Question 10,which of the following is not a prokinetic?,"a) 5HT4 agonist
b) Dopamine antagonist
c) Motilin
d) Diphenylmethane","Diphenylmethane is not a prokinetic agent. Its derivative (Bisacodyl) is used as a laxative.
Prokinetic agents are the drugs that increase GI motility and transit of material in the GI tract. These agents include:
• Dopamine receptor antagonists- metoclopramide and domperidone
• serotonin receptor agonists- cisapride and prucalopride
• Motilin
• Macrolide antibiotics mimicking motilin - erythromycin
• Miscellaneous agents:
• Sincalide (c-terminal octapeptide of cck)
• camicinal (motilin receptor agonist)
• Relamorelin (ghrelin receptor agonist)
• velusetrag and naronapride (5HT4 agonists)",,D,
Question 11,which of the following is used in the first-line management of postmenopausal osteoporosis?,"a) Estrogen
b) Bisphosphonates
c) Raloxifene
d) combined oral contraceptives","Bisphosphonates are used in the first-line management of postmenopausal osteoporosis.
Bisphosphonates are analogs of pyrophosphates. They specifically inhibit bone resorption and thus are very effective for the treatment of postmenopausal osteoporosis.
Bisphosphonates concentrate at sites of active remodeling. They remain in the matrix until the bone is remodeled. Then, they are released in the acid environment of the resorption lacunae and induce apoptosis in osteoclasts.
classification ofbisphosphonates (mainly based on potency):
First-generation:
• Etidronate (least potent)
• clodronate
• Tiludronate
second-generation: 1o-1oo times more potent than the first generation
• Alendronate
• pamidronate
• Ibadronate
Third-generation: 1o,ooo times more potent than the first generation
• Risedronate
• zoledronate",,B,
