NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Question 1,what is the effect of RNAi on gene expression?,"a) knock out
b) knock down
c) knock up
d) knock in","RNA interference(RNAi) is a biological process in which miRNA/siRNA molecules inhibit gene expression (""knockdown"") by neutralizing the targeted mRNAs.
• miRNA regulates the expression of the target gene by post-transcriptional silencing.
• Small interfering RNAs (siRNAs) are short RNA sequences that can be introduced experimentally into cells and then serve as substrates for the Dicer enzyme and interact with the RNA-induced silencing complex (RISC) in a manner similar to that observed for endogenous miRNAs.
• Synthetic siRNAs targeted against specific mRNA species are useful in the study of gene function and this technique is referred to as knockdown technology.
• siRNAs are also being developed as possible therapeutic agents to silence pathogenic genes like oncogenes involved in neoplastic transformation.
knock out: Mice generated through genetic manipulation of embryonic stem (ES) cells such that a specific genetic locus is targeted and rendered non-functional (""knocked-out""), either by insertion of an irrelevant DNA sequence or by deletion of the endogenous DNA sequence.
knock-in: Mice generated through genetic manipulation of embryonic stem (ES) cells such that a specific genetic locus is altered either by one-for-one substitution of DNA sequence or by addition of sequence not found in the endogenous genetic locus.",,B,
Question 2,Methyl-tetrahydro-folic acid gets accumulated in deficiency of which of the following?,"a) B2
b) B12
c) B1
d) B6","Accumulation of methyl tetrahydro folic acid is seen in vitamin B12 deficiency. vitamin B12 acts as a cofactor of methionine synthase, an enzyme involved in the regeneration of tetrahydrofolate from methyl-tetrahydrofolate. Hence, in vitamin B12 deficiency methyl-tetrahydrofolate accumulates leading to functional folate deficiency known as the folate trap.
The conversion of 5,1o-methylene-THF into 5-methyl-THF (methyltetrahydrofolate) is an irreversible process. The major source of tetrahydrofolate for tissues is 5-methyl-THF. The only way to make further use of 5-methyl-THF and to maintain the folate cycle is by the vitamin B12-dependent remethylation of homocysteine to methionine by the methionine synthase enzyme.
Decreased activity of methionine synthase in vitamin B12 deficiency results in the accumulation of methyltetrahydrofolate, which cannot be used, resulting in a folate trap. The folate cycle acts as the link between the functions of folate and vitamin B12, and deficiency of vitamin B12 can cause a functional deficiency of folate.
Note: since vitamin B12 is also linked to the regeneration of methionine from homocysteine, its deficiency can result in hyperhomocysteinemia as well. This in turn increases the risk of atherosclerosis, hypertension, and thrombosis.",,B,nan;800-637.PNG
Question 3,cytochrome oxidase is inhibited in all of the following poisonings except:,"a) Hydrogen sulphide
b) carbon monoxide
c) Methane
d) cyanide","cytochrome oxidase is a hemoprotein, which is the terminal component of the respiratory chain carriers (complex IV) in mitochondria. The action of cytochrome oxidase is inhibited in carbon monoxide, cyanide, and hydrogen sulfide poisoning, resulting in prevention of cellular respiration.
Hemoproteins are metalloproteins that have a typical heme prosthetic group. They are present in myoglobin, hemoglobin, and other cytochromes. cytochrome oxidase contains two molecules of heme, each having one Fe atom that oscillates between Fe3+ and Fe2+ during oxidation and reduction. It also contains two atoms of copper, each associated with a heme unit.
complexes of ETc :
complex I: NADH-coQ oxidoreductase
contains - Fes, FMN, coenzyme Q
Inhibitors – Rotenone
complex II: succinate-coQ reductase
contains - Fes, coenzyme Q
Inhibitor - carboxin
complex III: coQH2-cytochrome c oxidoreductase
contains - cytochrome c, b, c1, and Fes
Inhibitor - Antimycin A
complex IV: cytochrome oxidase
contains - cytochrome a, a3, and copper
Inhibitor - cyanide, Azide, carbon monoxide
complex V (informally): ATP synthase
Inhibitor - oligomycin
Note: MELAs (mitochondrial encephalopathy, lactic acidosis, and stroke) is an inherited condition due to NADH-Q oxidoreductase (complex I) or cytochrome oxidase (complex IV) deficiency.",,C,
Question 4,which of the following molecular analysis methods is used to detect RNA ?,"a) sanger's method
b) G banding
c) western blot
d) RT-PCR","RT PcR(Reverse Transcriptase PcR) is a molecular analysis method used for the detection of RNA. It can be used to quantitate mRNA levels by generating complementary DNA (cDNA) copies of the mRNA using the reverse transcriptase enzyme.
The northern blot technique can also be used to detect RNAs. Here, the mixture of mRNA molecules is separated by electrophoresis and then transferred to a nitrocellulose membrane and hybridized with radiolabeled probes.
sanger’s technique:
• This was the first technique used to determine the sequence of proteins.
• sanger’s reagent is 1- Flouro 2,4 Dinitro benzene.
• The first protein to be sequenced by this method was insulin.
• only dipeptides and tripeptides can be sequenced by this method.
G banding (Giemsa banding):
It is the most common technique used in cytogenetics to produce a visible karyotype by staining condensed chromosomes. It is useful for identifying genetic diseases through the photographic representation of the entire chromosome complement. The metaphase chromosomes are treated with trypsin (to partially digest the chromosome) and stained with Giemsa stain.
Heterochromatic regions, which tend to be rich with adenine and thymine (AT-rich) DNA and relatively gene-poor, stain darker and appear as dark bands in G-banding. In contrast, less condensed chromatin, which tends to be rich with guanine and cytosine (Gc-rich) and more transcriptionally active incorporates less Giemsa stain, and these regions appear as light bands in G-banding. The image below shows a G-banding karyogram of a normal human male.
western blot, also called immunoblots, is a technique used to study protein molecules. The proteins undergo electrophoresis and then are transferred to a membrane. These proteins are then tagged with the specific antibodies and visualized.",,D,nan;802-638.PNG
Question 5,Insulin inhibits which of the following lipase enzymes?,"a) Lipoprotein lipase
b) Pancreatic lipase
c) Gastric lipase
d) Hormone sensitive lipase","Insulin has an inhibitory effect on lipolytic hormones like hormone sensitive lipase (HSL). In adipose tissues, the stored triglycerides are broken down (lipolysis) by hormone sensitive lipase (HSL) into free fatty acids (FFAs). Insulin inhibits HSL and thus reduces the release of FFAs and also glycerol.
In diabetic patients, low insulin level corresponds to an increase in HSL activity, promoting the breakdown of lipids and release of FFAs from adipose tissue. Hormone-sensitive lipase activity is accelerated by hormones like epinephrine, norepinephrine, glucagon, ACTH, TSH, GH, ADH, and Melanocyte stimulating hormones (MSH).
Insulin induces the activity of lipoprotein lipase (LPL) which is present on the walls of capillaries. LPL promotes hydrolysis of TGs and degradation of vLDL and chylomicrons. In diabetes, low insulin leads to decreased LPL activity resulting in increased vLDL and TGs levels.
Effects of insulin on various tissues:
Tissue: Adipose tissue, Muscle, Liver, General
Increases: Increased glucose entry, Increased fatty acid synthesis, Increased glycerol phosphate synthesis, Increased triglycerides deposition, Activation of lipoprotein lipase, Increased K+ uptake; Increased glucose entry, Increased glycogen synthesis, Increased amino acid uptake, Increased protein synthesis in ribo some, Increase ketone uptake, Increase K+ uptake; Increased protein synthesis, Increased lipid synthesis, Increased glycogen synthesis & glyc olysis; Increased cell growth
Decreases: Inhibition of hormone-sensitive lipase; Decrease protein catabolism, Decrease release of glucogen ic amino acids; Decrease ketogenesis, Decreased glucose output due to decreased gluconeogenesis; -",,D,nan;803-639.PNG
Question 6,Glycated hemoglobin (HbA1c) is best measured using?,"a) Ion exchange chromatography
b) Affinity chromatography
c) Isoelectric focussing
d) Electrophoresis","Glycated hemoglobin (HbA1c) is best measured using ion-exchange chromatography.
HbA1c is formed by non-enzymatic glycation of hemoglobin A present in RBCs. Normally this occurs to a small extent but is increased in diabetic patients with poor glycemic control. since the half-life of RBCs is typically 6o days, HbA1c can be used to monitor mean blood glucose concentration over the past 6 to 8 weeks.
In ion-exchange chromatography:
• proteins interact with the stationary phase by charge-charge interactions.
• proteins with a net positive charge at a given pH will tightly adhere to beads with negatively charged functional groups such as carboxylates or sulfates (cation exchangers).
• proteins with a net negative charge adhere to beads with positively charged functional groups, typically tertiary or quaternary amines (anion exchangers).
• Non-adherent proteins flow through the matrix and are washed away.
• proteins elute in inverse order of the strength of their interactions with the stationary phase.",,A,
Question 7,what is the main substrate and metabolic fuel used by RBCs during fasting?,"a) ketone bodies
b) Glucose
c) Free fatty acids
d) Amino acids","Glucose is the main substrate and metabolic fuel used by RBCs during fasting. RBCs lack mitochondria and are dependent fully on glycolysis (anaerobic) and pentose phosphate pathway during fasting state.
Glucose is always required by brain and RBCs. Brain can meet only about 2o percent of energy requirements by using ketone bodies and the remaining is supplied by glucose. Metabolic changes occuring during fasting state and starvation therefore serve to preserve glucose and glycogen reserves for brain and RBCs.",,B,
Question 8,miRNA binds to which part of the mRNA to inhibit translation?,"a) Gene body
b) Gene promoter
c) 3' UTR
d) 5' UTR","Micro-RNA (miRNA) is an endogenous non-coding RNA that typically binds to the 3’-untranslated regions (UTRs) of target messenger-RNAs (mRNAs). The primary function of miRNA is to modulate the translation of target mRNAs into their corresponding proteins. After the target RNA is transcribed from its gene (post-transcriptional), the miRNA may either induce mRNA cleavage or repress its translation. This is referred to as post-transcriptional gene silencing or RNA interference.
RNA interference(RNAi) is a biological process in which miRNA or siRNA molecules inhibit gene expression by neutralizing targeted mRNAs.The microRNA (miRNA) belongs to a group of non-coding genes. The miRNA genes are transcribed but not translated into proteins. They play a role in the regulation of the expression of the target gene by post-transcriptional silencing.
Mechanism:
• The miRNA gene present in the nucleus is transcribed to primary miRNA, which is further converted to pre-miRNA by an enzyme DROSHA intranuclearly and exported to the cytoplasm by an export protein called Exportin 5.
• The pre-miRNA undergoes trimming, by an enzyme called DICER, into mature single-stranded miRNA.
• The mature miRNA is associated with a multiprotein aggregate called RNA-induced silencing complex (RISC).
• The target mRNAs contain seed sequences in their 3, untranslated region (UTR) that determines the specificity of miRNA binding and gene silencing.
Depending on the base pairing between the miRNA strand and its target mRNA, the RISC causes gene silencing either by mRNA cleavage (degradation or deadenylation) or by repressing its translation.
siRNA is similar in function to miRNA and is used in RNA interference.
miRNA expression has been found to be dysregulated in many cancers. Such misregulation is thought to have a causal role in the pathogenesis of such cancers. Some types of miRNAs are oncogenic (referred to as oncomiRs) and are overexpressed in cancerous tissue. On the other hand, tumor-suppressive miRNAs that counteract oncogenic characteristics are found to be underexpressed in cancers.",,C,nan;805-640.PNG
Question 9,The enzyme kinetics depicted in the Graph is suggestive of-,"a) Allosteric Activation
b) cooperative Binding
c) Michaelis Menten kinetics
d) sigmoid curve","The graph shows a hyperbola which is suggestive of Michaelis - Menten kinetics ofthe enzyme.
For enzymes showing michaelis menten kinetics, there is an increase in Rate of reaction, v, with increase in substrate concentration till a point vmax is reached beyond which rate of reaction shows saturation.
cooperative Binding would result in a sigmoid curve and is suggestive of Non Michaelis Menten kinetics.",793-634.PNG,C,
Question 10,which of the following methods cannot be used to precipitate proteins?,"a) Add alcohol and acetone
b) using heavy metal ions
c) Moving pH away from isoelectric pH
d) Adding trichloroacetic acid","precipitation of proteins is maximum at isoelectric pH and decreases as pH moves away from it. Hence, moving pH away from isoelectric pH cannot be used for precipitating proteins.
The isoelectric point or isoelectric pH (pI) is the pH at which the molecule carries no net charge. significance of Iso-electric pH (pI):
• The number of anions and cations present on the protein molecule will be equal and the net charge is zero.
• The proteins will not migrate in an electrical field
• Buffering capacity is minimum (note: maximum buffering action of an amino acid is seen when pH〓pka, and not at isoelectric pH)
• viscosity will be minimum
• precipitability will be maximum and solubility is minimum various precipitation reactions of proteins are:
• salting out: higher the molecular weight of protein, the lesser the salt required. Globulins would require only half-saturated salt whereas albumin would need full saturation.
• Isoelectric precipitation: proteins are least soluble at their isoelectric pH and get precipitated immediately.
• precipitation by organic solvents like alcohol and acetone.
• precipitation by heavy metal ions: positively charged metal ions precipitate the negatively charged proteins in an alkaline medium. salts of heavy metals can precipitate normal proteins of the GI tract in poisoning.
• precipitation by alkaloidal reagents like tungstic acid, trichloroacetic acid, and picric acid.
• Heat coagulation is an irreversible precipitation process.",,C,
