NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Q1,"A 65-year old patient visits his family practitioner for a yearly examination. on examination, his BP was 19o/1oo mm Hg. His pulse pressure was 9o mm Hg. what would have decreased resulting in this increase in pulse pressure?","a) Myocardial contractility
b) stroke volume
c) Arterial wall compliance
d) cardiac output","pulse pressure increases with age due to decreased arterial wall compliance.
with advancing age, there is an increase in systolic blood pressure. whilst diastolic blood pressure falls after 6o years of age due to increased arterial stiffness (decreased compliance). As a result of these two changes, pulse pressure increases (↑pp = ↑SBp - ↓DBp).",,C,
Q2,which of the following curves represents gamma-globin chain production?,"a) Green curve
b) Black curve
c) Blue curve
d) orange curve","In the given image, the orange curve represents the gamma-globin chain production. Gamma globin chain is produced in the fetal period and drops to undetectable levels 6 months postpartum which is the pattern represented by the orange curve.
Hemoglobin in blood has different variants throughout life, in different proportions. The type of hemoglobin essentially depends on the combination of globin chains. Adult hemoglobin is made of 2 alpha and 2 beta chains, whereas fetal hemoglobin is made of 2 alpha and 2 gamma-globin chains.
Here,
• Gamma chain - orange curve
• Alpha chain - Red curve
• Beta chain - Green curve
• Epsilon chain - Black curve
• Delta chain - Blue curve",471-463.PNG,D,
Q3,Transcutaneous electric nerve stimulation is used to reduce pain. what is the mechanism behind this?,"a) central inhibition
b) Desensitization
c) Gate control theory
d) Descending inhibition","Transcutaneous electrical nerve stimulation (TENS) used for pain relief is based on the gate theory of pain. This method uses electrodes to activate Aα and Aβ fibers near the injury to relieve pain.
Gate control theory is based on the inhibition of pain pathway in the spinal cord. various sensory inputs from a particular dermatome reach the dorsal horn of the spinal cord. The pain is transmitted via A-delta and C fibers, whereas, A-beta fibers carry tactile sensations (touch, pressure) and A-alpha fibers carry proprioception.
when these large-diameter A-beta/A-alpha fibers are stimulated, they inhibit the pain pathway in the spinal cord. Gate control theory operates at the substantia gelatinosa of the dorsal horn of the spinal cord.",,C,480-466.PNG
Q4,which of the following is not required for calculation of creatinine clearance?,"a) urine creatinine
b) serum creatinine
c) 24 hour urine output
d) volume of serum passing through kidney in 24 hours","The volume of plasma passing through the kidney in 24 hours is not used in the calculation of creatinine clearance.
The parameters used to calculate creatinine clearance (ccr) are: urine creatinine, serum creatinine, 24hr urine output.
The formula used to calculate creatinine clearance (ccr) is: ucr × V/pcr where, ucr - urine creatinine(mg/dl), pcr - serum creatinine(mg/dl), V - urine volume(ml/24 hrs).
creatinine is a metabolite of muscle metabolism and is cleared from the body mostly by glomerular filtration. Therefore, the clearance of creatinine is used to assess GFR.",,D,
Q5,A neuron is receiving 4oo inputs from 15o sensory neurons. This is an example of?,"a) Divergence
b) convergence
c) Feedback inhibition
d) Feedforward excitation","A single neuron receiving 4oo inputs from 15o sensory neurons is an example of convergence.
Convergence means signals from multiple inputs uniting to excite a single neuron. It can be of 2 types: Convergence from a single source, or Convergence from multiple sources.
The importance of convergence is that neurons are almost never excited by an action potential from a single input terminal. However, action potentials converging on the neuron from multiple terminals provide enough spatial summation to bring the neuron to the threshold required for discharge.",,B,
Q6,calculate the EcF volume in a volunteer in whom 1o gm of mannitol was injected in venous blood. At equilibrium urinary excretion of mannitol was found to be 1o% and the plasma concentration of mannitol was 65 mg/1oo ml.,"a) 14L
b) 1oL
c) 28L
d) 2oL","ECF volume of the above volunteer is calculated to be 14 L.
The ECF volume can be calculated using the formula:
V = (Amount injected - Amount excreted) / plasma concentration
where, V = ECF volume, Amount injected = 1o gm, Amount of mannitol excreted = 1o% of 1o gm = 1gm, plasma concentration of mannitol = 65 mg/1oomL = o.65 gm/L
Calculation: ECF Volume = (1o-1)/o.65 = 13.8 L = approximately 14 L.
Mannitol cannot cross cell membranes, hence, it will be distributed in ECF but not in ICF. Thus mannitol is a marker for ECF volume.",,A,
Q7,Gibbs-Donnan equilibrium is mainly due to?,"a) phosphate
b) Bicarbonate in the intracellular compartment
c) calcium in the extracellular compartment
d) Intracellular proteins","Gibbs-Donnan equilibrium is mainly due to intracellular proteins.
Donnan and Gibbs showed that ""when an ion on one side of a membrane cannot diffuse through the membrane, the distribution of other ions to which the membrane is permeable is affected in a predictable way"".
According to this, in the presence of intracellular proteins, which are negatively charged non-diffusable ions, the distribution of other ions to which the membrane is permeable is affected in a predictable way (Donnan Effect) so that at equilibrium their concentration ratios are equal.",,D,
Q8,which of these hormones have intracellular receptors?,"a) Thyroxine
b) Epinephrine
c) Glucagon
d) parathormone","Thyroxine hormone act by binding to intracellular nuclear receptors.
All other hormones mentioned in the options bind to receptors on the cell membrane.",,A,
Q9,Intercellular communication in eukaryotes is by?,"a) Lysosome
b) peroxisome
c) Exosome
d) Genome","Intercellular communication in eukaryotes is by Exosome.
In the last decade, a class of small, heterogeneous, secreted vesicles, broadly termed as extracellular vesicles have been identified.
These extracellular vesicles have been implicated as a new and important mediator of cell-cell communication.
These vesicles are enclosed by a lipid bilayer.
They are heterogeneous in size (3o-2ooo nm diameter), and are generated by at least two distinct mechanisms:
• Microvesicles are generated by budding from the plasma membrane of a source cell.
• Exosomes are generated from the multivesicular body (MVB).",,C,
Q10,"In skeletal muscle, dihydropyridine and ryanodine receptors are coupled by?","a) chemically
b) Electrically
c) chemically and then electrically
d) Mechanically","In skeletal muscle, dihydropyridine and ryanodine receptors show mechanical coupling involving structural interaction between the two.
Dihydropyridine receptors (DHPRs) are voltage-gated ca2+ channels in the T tubule membrane. The ryanodine receptor (RyR) is a ligand-gated ca2+ channel with ca2+ as its natural ligand.
skeletal muscle excitation-contraction (E-c) coupling is thought to occur by a ""mechanical coupling"" mechanism involving protein-protein interactions.",,D,
